"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","1936","58 years","Both sexes","Number","29946"
"Population estimates from 1926","1936","58 years","Male","Number","15438"
"Population estimates from 1926","1936","58 years","Female","Number","14508"
"Population estimates from 1926","1936","59 years","Both sexes","Number","26099"
"Population estimates from 1926","1936","59 years","Male","Number","13688"
"Population estimates from 1926","1936","59 years","Female","Number","12411"
"Population estimates from 1926","1936","60 years","Both sexes","Number","36105"
"Population estimates from 1926","1936","60 years","Male","Number","18370"
"Population estimates from 1926","1936","60 years","Female","Number","17735"
"Population estimates from 1926","1936","61 years","Both sexes","Number","20671"
"Population estimates from 1926","1936","61 years","Male","Number","10987"
"Population estimates from 1926","1936","61 years","Female","Number","9684"
"Population estimates from 1926","1936","62 years","Both sexes","Number","25265"
"Population estimates from 1926","1936","62 years","Male","Number","13279"
"Population estimates from 1926","1936","62 years","Female","Number","11986"
"Population estimates from 1926","1936","63 years","Both sexes","Number","23457"
"Population estimates from 1926","1936","63 years","Male","Number","12375"
"Population estimates from 1926","1936","63 years","Female","Number","11082"
"Population estimates from 1926","1936","64 years","Both sexes","Number","24880"
"Population estimates from 1926","1936","64 years","Male","Number","13099"
"Population estimates from 1926","1936","64 years","Female","Number","11781"
"Population estimates from 1926","1936","65 years","Both sexes","Number","28110"
"Population estimates from 1926","1936","65 years","Male","Number","14967"
"Population estimates from 1926","1936","65 years","Female","Number","13143"
"Population estimates from 1926","1936","66 years","Both sexes","Number","21414"
"Population estimates from 1926","1936","66 years","Male","Number","11436"
"Population estimates from 1926","1936","66 years","Female","Number","9978"
"Population estimates from 1926","1936","67 years","Both sexes","Number","19265"
"Population estimates from 1926","1936","67 years","Male","Number","10254"
"Population estimates from 1926","1936","67 years","Female","Number","9011"
"Population estimates from 1926","1936","68 years","Both sexes","Number","23121"
"Population estimates from 1926","1936","68 years","Male","Number","12254"
"Population estimates from 1926","1936","68 years","Female","Number","10867"
"Population estimates from 1926","1936","69 years","Both sexes","Number","21091"
"Population estimates from 1926","1936","69 years","Male","Number","11145"
"Population estimates from 1926","1936","69 years","Female","Number","9946"
"Population estimates from 1926","1936","70 years","Both sexes","Number","21226"
"Population estimates from 1926","1936","70 years","Male","Number","10199"
"Population estimates from 1926","1936","70 years","Female","Number","11027"
"Population estimates from 1926","1936","71 years","Both sexes","Number","15792"
"Population estimates from 1926","1936","71 years","Male","Number","7712"
"Population estimates from 1926","1936","71 years","Female","Number","8080"
"Population estimates from 1926","1936","72 years","Both sexes","Number","17734"
"Population estimates from 1926","1936","72 years","Male","Number","8336"
"Population estimates from 1926","1936","72 years","Female","Number","9398"
"Population estimates from 1926","1936","73 years","Both sexes","Number","16065"
"Population estimates from 1926","1936","73 years","Male","Number","7495"
"Population estimates from 1926","1936","73 years","Female","Number","8570"
"Population estimates from 1926","1936","74 years","Both sexes","Number","15123"
"Population estimates from 1926","1936","74 years","Male","Number","7080"
"Population estimates from 1926","1936","74 years","Female","Number","8043"
"Population estimates from 1926","1936","75 years","Both sexes","Number","14751"
"Population estimates from 1926","1936","75 years","Male","Number","6914"
"Population estimates from 1926","1936","75 years","Female","Number","7837"
"Population estimates from 1926","1936","76 years","Both sexes","Number","12939"
"Population estimates from 1926","1936","76 years","Male","Number","6029"
"Population estimates from 1926","1936","76 years","Female","Number","6910"
"Population estimates from 1926","1936","77 years","Both sexes","Number","9356"
"Population estimates from 1926","1936","77 years","Male","Number","4384"
"Population estimates from 1926","1936","77 years","Female","Number","4972"
"Population estimates from 1926","1936","78 years","Both sexes","Number","9292"
"Population estimates from 1926","1936","78 years","Male","Number","4253"
"Population estimates from 1926","1936","78 years","Female","Number","5039"
"Population estimates from 1926","1936","79 years","Both sexes","Number","6650"
"Population estimates from 1926","1936","79 years","Male","Number","3090"
"Population estimates from 1926","1936","79 years","Female","Number","3560"
"Population estimates from 1926","1936","80 years","Both sexes","Number","7986"
"Population estimates from 1926","1936","80 years","Male","Number","3510"
"Population estimates from 1926","1936","80 years","Female","Number","4476"
"Population estimates from 1926","1936","81 years","Both sexes","Number","4079"
"Population estimates from 1926","1936","81 years","Male","Number","1925"
"Population estimates from 1926","1936","81 years","Female","Number","2154"
"Population estimates from 1926","1936","82 years","Both sexes","Number","4308"
"Population estimates from 1926","1936","82 years","Male","Number","1954"
"Population estimates from 1926","1936","82 years","Female","Number","2354"
"Population estimates from 1926","1936","83 years","Both sexes","Number","3294"
"Population estimates from 1926","1936","83 years","Male","Number","1506"
"Population estimates from 1926","1936","83 years","Female","Number","1788"
"Population estimates from 1926","1936","84 years","Both sexes","Number","3583"
"Population estimates from 1926","1936","84 years","Male","Number","1589"
"Population estimates from 1926","1936","84 years","Female","Number","1994"
"Population estimates from 1926","1936","85 years","Both sexes","Number","2700"
"Population estimates from 1926","1936","85 years","Male","Number","1231"
"Population estimates from 1926","1936","85 years","Female","Number","1469"
"Population estimates from 1926","1936","86 years","Both sexes","Number","2472"
"Population estimates from 1926","1936","86 years","Male","Number","1108"
"Population estimates from 1926","1936","86 years","Female","Number","1364"
"Population estimates from 1926","1936","87 years","Both sexes","Number","1547"
"Population estimates from 1926","1936","87 years","Male","Number","636"
"Population estimates from 1926","1936","87 years","Female","Number","911"
"Population estimates from 1926","1936","88 years","Both sexes","Number","1181"
"Population estimates from 1926","1936","88 years","Male","Number","496"
"Population estimates from 1926","1936","88 years","Female","Number","685"
"Population estimates from 1926","1936","89 years","Both sexes","Number","793"
"Population estimates from 1926","1936","89 years","Male","Number","324"
"Population estimates from 1926","1936","89 years","Female","Number","469"
"Population estimates from 1926","1936","90 years","Both sexes","Number","926"
"Population estimates from 1926","1936","90 years","Male","Number","391"
"Population estimates from 1926","1936","90 years","Female","Number","535"
"Population estimates from 1926","1936","91 years","Both sexes","Number","396"
"Population estimates from 1926","1936","91 years","Male","Number","149"
"Population estimates from 1926","1936","91 years","Female","Number","247"
